1413394888.405761 0.088466 0.122613 0.385446 0.813846 0.007366 0.580863 0.014051
1413394888.505760 0.108898 0.149822 0.426795 0.806971 0.009537 0.590453 0.008459
1413394888.605761 0.129300 0.180961 0.459939 0.802418 0.021964 0.596186 -0.014295
1413394888.705760 0.158201 0.203383 0.464958 0.797174 0.011460 0.603606 -0.006512
1413394888.805760 0.207597 0.224566 0.471916 0.786827 -0.005850 0.617139 0.002929
1413394888.905761 0.258264 0.244299 0.478847 0.779702 -0.017486 0.625857 0.007897
1413394889.005760 0.306182 0.265003 0.488394 0.776885 -0.022301 0.629204 0.007373
1413394889.105761 0.350788 0.286892 0.502913 0.774660 -0.023236 0.631945 0.002760
1413394889.205760 0.391050 0.308016 0.523192 0.771009 -0.015740 0.636626 0.002337
1413394889.305760 0.429202 0.328592 0.546797 0.751638 -0.008003 0.659527 0.000611
1413394889.405761 0.455145 0.353250 0.578905 0.719916 0.002960 0.694001 -0.008684
1413394889.505760 0.461145 0.377117 0.609845 0.699901 0.013657 0.713839 -0.019626
1413394889.605761 0.444853 0.388317 0.619868 0.727933 0.017878 0.685110 -0.020448
1413394889.705760 0.410194 0.394419 0.627434 0.775150 0.015349 0.631457 -0.013028
1413394889.805760 0.367412 0.404886 0.645487 0.817620 0.014708 0.575458 -0.011389
1413394889.905761 0.330546 0.416218 0.664703 0.846984 0.008956 0.531481 -0.008134
1413394890.005760 0.308992 0.428138 0.679844 0.866557 0.003164 0.499035 -0.005789
1413394890.105761 0.307989 0.439413 0.685554 0.878000 -0.002516 0.478612 -0.006313
1413394890.205760 0.335594 0.451804 0.687411 0.866579 -0.012650 0.498843 -0.005951
1413394890.305760 0.389515 0.462196 0.684953 0.838123 -0.027233 0.544720 -0.009361
1413394890.405761 0.458700 0.464146 0.678451 0.801090 -0.042726 0.596938 -0.009711
1413394890.505760 0.527404 0.457655 0.666742 0.764929 -0.042069 0.642617 -0.012562
1413394890.605761 0.589684 0.409664 0.645818 0.722053 -0.116743 0.677850 0.074361
1413394890.705760 0.622719 0.379502 0.633770 0.704511 -0.116957 0.692307 0.103424
1413394890.805760 0.623362 0.351522 0.620198 0.713824 -0.113129 0.680975 0.118024
1413394890.905761 0.597735 0.330374 0.604366 0.750647 -0.119544 0.638746 0.119340
1413394891.005760 0.559151 0.314018 0.591356 0.793460 -0.127649 0.583035 0.119154
1413394891.105761 0.522191 0.300127 0.582423 0.825432 -0.134488 0.535407 0.117960
1413394891.205760 0.499283 0.282765 0.576360 0.843939 -0.140669 0.504368 0.116583
1413394891.305760 0.498160 0.258102 0.574552 0.851497 -0.145109 0.489068 0.121276
1413394891.405761 0.520666 0.226516 0.578485 0.844287 -0.145085 0.497991 0.134664
1413394891.505760 0.564892 0.187840 0.588443 0.824734 -0.147262 0.525010 0.149977
